Date,Name,Tweets,USD_EUR
2018-05-30,Emmanuel Macron,On demande aux acteurs historiques de continuer à payer l'impôt tout en étant bousculés par ceux qui n'ont pas à le… https://t.co/MT0wvMjIo2,1.1632
2018-05-30,Emmanuel Macron,Rendez-vous demain là où Voltaire « cultivait son jardin ». C'est une chance de pouvoir s'y rendre : beaucoup de li… https://t.co/ssnzLJb2ni,1.1632
2018-05-29,Emmanuel Macron,"LIVE | Réunis à Paris pour aider la Libye à trouver le chemin de la stabilité et de la sécurité. 
https://t.co/yykhj6vwsF",1.1558
2018-05-29,François Hollande,Solidarité avec nos amis belges après la terrible attaque à #Liège. Mes pensées accompagnent les familles des victimes.,1.1558
2018-05-29,Emmanuel Macron,"Avec M. Ahmed Ouyahia, Premier ministre d’Algérie, pour un échange chaleureux et direct. https://t.co/py3GmvBkik",1.1558
2018-05-29,Emmanuel Macron,"Avec M. Béji Caïd Essebsi, Président de la Tunisie. https://t.co/MmJZNbdOGy",1.1558
2018-05-29,Emmanuel Macron,"Avec M. Denis Sassou Nguesso, Président du Congo, médiateur de l’Union africaine pour la Libye. https://t.co/AKZWo7wtvZ",1.1558
2018-05-29,Emmanuel Macron,"Nous avons tout intérêt, pour notre sécurité, à travailler à la stabilité de la Libye. 
C'est pour ça que je réunis… https://t.co/9OT7XhHvGm",1.1558
2018-05-29,Emmanuel Macron,"LIVE | Conférence de presse sur la Libye avec Ghassan Salamé et le Premier Ministre Sarraj
https://t.co/E3abFCxeWE",1.1558
2018-05-29,Emmanuel Macron,"Nous vivons aujourd’hui un moment historique pour les Libyens, fruit d'un travail de longue haleine pour accompagne… https://t.co/bcT9TEdkWM",1.1558
2018-05-29,Emmanuel Macron,Le Parlement européen vient d’adopter à une très large majorité la réforme du travail détaché. Un succès essentiel… https://t.co/Clyw5XHksj,1.1558
2018-05-29,Emmanuel Macron,Le peuple libyen aspire à la paix et à l’exercice de la souveraineté. C'est ce que nous lui devons.,1.1558
2018-05-29,Emmanuel Macron,RT @PompiersParis: « Je vais tout faire pour y arriver » a réagi #MamoudouGassama lors de sa visite de la caserne de Champerret. https://t.…,1.1558
