Date,Name,Tweets,Open_GOOG,High_GOOG,Low_GOOG,Close_GOOG,Volume_GOOG
2019-10-07,Sundar Pichai,Today we’re kicking off our 3rd #ImpactChallengeBayArea: we’ll donate $10M in grants to 35 nonprofits working to im… https://t.co/WIC7FCAaIy,1204.4000244140625,1218.2039794921875,1203.75,1207.6800537109375,842900
2019-10-02,Sundar Pichai,"Building on the privacy &amp; security features discussed at #io19, this week we're rolling out Incognito mode on Maps,… https://t.co/wedFzBTmhm",1196.97998046875,1196.97998046875,1171.2900390625,1176.6300048828125,1615100
2019-09-26,Sundar Pichai,Happy 5th birthday to Google Classroom! Thank you to all of the educators who have given us helpful feedback over t… https://t.co/58kE9a78hT,1241.9599609375,1245.0,1232.2679443359375,1241.3900146484375,1538000
2019-09-24,Sundar Pichai,Detecting deepfakes is one of the most important challenges ahead of us. Following our release of a synthetic audio… https://t.co/XPtoeF3HsS,1240.0,1246.739990234375,1210.6800537109375,1218.760009765625,1583200
2019-09-20,Sundar Pichai,Great discussion at our new digital skills hub hosted by Minister @KatriKulmuni with govt &amp; business leaders from a… https://t.co/BfuizsvOIq,1233.1199951171875,1243.3199462890625,1223.0799560546875,1229.9300537109375,2270000
2019-09-20,Sundar Pichai,"While in Finland, we also announced new details of our largest corporate purchase of renewable energy in history -… https://t.co/GDoxz3Z6Sy",1233.1199951171875,1243.3199462890625,1223.0799560546875,1229.9300537109375,2270000
2019-09-20,Sundar Pichai,Hei from Helsinki! Met with Finnish PM @AnttiRinnepj today as we announced €3B to expand data centers in Europe ove… https://t.co/Leh0OgrZK6,1233.1199951171875,1243.3199462890625,1223.0799560546875,1229.9300537109375,2270000
2019-09-20,Sundar Pichai,"@AnttiRinnepj @Google Finland is a great example of how the internet can help drive economic growth, and we look fo… https://t.co/kG82ztHnEr",1233.1199951171875,1243.3199462890625,1223.0799560546875,1229.9300537109375,2270000
2019-09-19,Sundar Pichai,"We've been carbon neutral since 2007 and today, we're proud to share that Google is making our largest purchase of… https://t.co/STAd7o5Ua1",1232.06005859375,1244.43994140625,1232.02001953125,1238.7099609375,996000
2019-09-19,Sundar Pichai,"At #GoogleForIndia today, we announced Google Research India - a new AI research team in Bangalore that will focus… https://t.co/3Y6GcwpsJS",1232.06005859375,1244.43994140625,1232.02001953125,1238.7099609375,996000
2019-09-12,Sundar Pichai,"This National #RecoveryMonth, we’ve launched a new site to share tools and resources on addiction treatment and rec… https://t.co/qpTciputGI",1224.300048828125,1241.8599853515625,1223.02001953125,1234.25,1725900
2019-09-10,Sundar Pichai,Proud @MayoClinic has selected Google as its strategic partner on health innovation. We’re honored that… https://t.co/jhJrUD9QT5,1195.1500244140625,1210.0,1194.5799560546875,1206.0,1260100
2019-09-09,Sundar Pichai,Heartbreaking to see the devastation that #HurricaneDorian has caused to the Bahamas and the US. We’re donating to… https://t.co/yiIFXR0060,1204.0,1220.0,1192.6199951171875,1204.4100341796875,1471900
2019-09-09,Sundar Pichai,"In April, we open-sourced MLIR, which enables machine learning models to be consistently represented &amp; executed on… https://t.co/bIOTmLZ3sh",1204.0,1220.0,1192.6199951171875,1204.4100341796875,1471900
2019-09-03,Sundar Pichai,"RT @LaurenGoode: Android 10 has officially arrived. Even though Google has ditched the dessert theme, some of these updates are...pretty sw…",1177.030029296875,1186.8900146484375,1163.199951171875,1168.3900146484375,1479900
