Date,Name,Tweets,Open_AAPL,High_AAPL,Low_AAPL,Close_AAPL,Volume_AAPL
2020-04-14,Tim Cook,"While protecting your privacy, we are sharing aggregated mobility data from Apple Maps to help public health author… https://t.co/YVC9ofbkOk",69.68538135120211,71.73861133744288,69.20006940732185,71.43995666503906,48748700
2020-04-09,Tim Cook,We know parents out there are juggling a lot in this challenging time. Apple’s education team has some fun ways to… https://t.co/pdqxz8SlX3,66.87308066911936,67.21404006556851,65.87757523359905,66.69637298583984,40529100
2020-04-08,Tim Cook,"While this year’s Passover is different and challenging for so many, I hope all those celebrating around the world… https://t.co/Vb3qXeXAZi",65.38977382676086,66.54207261399091,65.01397567960856,66.21853637695311,42223800
2020-04-02,Tim Cook,Apple is proud to support @ChefJoseAndres’s @WCKitchen and @FeedingAmerica. We can only overcome this crisis if we… https://t.co/bMhFKjnpw1,59.81494521994581,61.01203993934021,58.958809908618285,60.9572868347168,165934000
2020-04-02,Tim Cook,"Ellis Marsalis was a true legend. In his music, his passion for New Orleans and his steadfast dedication to educati… https://t.co/s7RMXhP3WI",59.81494521994581,61.01203993934021,58.958809908618285,60.9572868347168,165934000
2020-03-31,Tim Cook,"To trans and non-binary communities around the world this #TransDayOfVisibility: We see you, we support you, and we stand with you.",63.6128010985505,65.3275553224257,62.71684465587435,63.28676986694336,197002000
2020-03-30,Tim Cook,"We owe an immeasurable debt to every doctor, every nurse, every first responder, every person who is putting their… https://t.co/d3x3XQQCcM",62.40325868057051,63.5928873548245,62.06976147840647,63.41618347167969,167976400
2020-03-27,Tim Cook,Grateful for the teachers finding incredible new ways to bring lessons to life while at home. We’re glad to be able… https://t.co/1H0bJ5ZCv3,62.90349678804161,63.679989776499404,61.48490236776228,61.6566276550293,204216800
2020-03-27,Tim Cook,RT @AppStore: The COVID-19 app was developed with trusted resources to provide accurate and up-to-date information on the coronavirus in th…,62.90349678804161,63.679989776499404,61.48490236776228,61.6566276550293,204216800
2020-03-27,Tim Cook,"To help you stay informed, understand symptoms and take proper steps to protect your health, Apple has created a CO… https://t.co/wKOofHql7v",62.90349678804161,63.679989776499404,61.48490236776228,61.6566276550293,204216800
2020-03-25,Tim Cook,Proud to share we’ve been able to source 10M masks for the US and millions more for the hardest hit regions in Euro… https://t.co/pQAZC5WwbW,62.40574440152168,64.27231701572471,60.8004927128174,61.10412216186523,303602000
2020-03-19,Tim Cook,It’s never been more important to support each other.  We’re making a substantial donation including medical suppli… https://t.co/76T7GgS48H,61.56951981524397,62.925895157520074,60.379891171059285,60.91995239257813,271857200
2020-03-18,Tim Cook,Silicon Valley is our home and we know the coming weeks will bring untold challenges for the many small businesses… https://t.co/Ek5BMndAF7,59.6730859032525,62.2190900028548,59.013561270691106,61.39033126831055,300233600
2020-03-04,Tim Cook,"To the scientists, the musicians, the athletes, the mothers, the entrepreneurs, the artists, the engineers, the tea… https://t.co/9CTVTBDy2i",73.77690773654865,75.50908505134933,72.95312760405173,75.3448257446289,219178400
2020-03-03,Tim Cook,Amazed by the magnificent images captured by the winners of our #ShotOniPhone Night mode photo challenge. Congratul… https://t.co/qM8dxZL4kl,75.57629076548592,75.65841662589851,71.12886364512218,72.00491333007812,319475600
2020-03-03,Tim Cook,"Thinking of Nashville and everyone in Tennessee recovering from last night’s devastating tornadoes, especially thos… https://t.co/g5YHWIW9PG",75.57629076548592,75.65841662589851,71.12886364512218,72.00491333007812,319475600
2020-02-28,Tim Cook,Perfect way to end a great day in Alabama. Always love seeing the Bham team at Apple The Summit! https://t.co/zw3O3bsJnz,64.02593366540378,69.28966706677343,63.80443006329317,68.0328369140625,426884800
2020-02-27,Tim Cook,"Thank you to the students of Oxmoor Valley Elementary and the incredible teachers, principal and staff! Your podcas… https://t.co/UCoNPczEC1",69.95914950149889,71.1786422020232,67.93329219317593,68.07266235351561,320605600
2020-02-27,Tim Cook,"Coding lets students of all ages breathe life into new ideas, solve problems and prepare for the jobs of the future… https://t.co/tLtkMafG2O",69.95914950149889,71.1786422020232,67.93329219317593,68.07266235351561,320605600
